kpi,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.361743764845407,11.612115350385197,16.27438209993858,26.083288417594787,48.39377808581729,125.07713388312118,640.6142504918673
debt_to_equity,0.00772277920602562,0.06508613877235865,0.43779126215920877,1.6178558202347761,6.460590070261603,1.687172986655207,2.873691300758453
interest_coverage,1.6004741552023507,2.9641357452595694,9.411954765751211,49.08436174825249,192.2895238095238,122.54721473290046,486.5514618631745
free_cash_flow_cr,-14847.199999999999,-1340.0,1095.0,8545.5,20818.10000000003,898.2333333333333,23384.78206544407
revenue_cagr_5yr,6.264597790285734,8.462029223288658,12.029339915118054,17.307475793424302,21.11249436733838,13.052514928806515,7.443360995599176
pat_cagr_5yr,4.25449161597129,9.358917170384974,16.42972571572392,23.865063572879073,39.67228711897934,21.322078659983593,21.908307038521794
eps_cagr_5yr,3.2865054350293588,9.22055500830271,14.869835499703509,22.39151352878129,32.26531235476664,19.172432956569317,20.535463697880754
operating_profit_margin_pct,9.828496146914242,15.247108198916695,24.118974348703773,35.82455869085926,79.80057312450175,31.13028351004299,25.121457611159855
net_profit_margin_pct,4.60996999769213,7.232424227856129,14.288299155609169,20.3643913103396,29.282025230717128,20.10157356689247,45.42569839742412
composite_quality_score,22.976686850766832,34.916384106329346,46.88224816997898,65.14421556635145,85.53450190019332,50.55814594563963,23.02829747876139
